OrderID,Units_Sold,MRP,Discount_Applied,Returns,Discount,Revenue,Estimated Cost,Profit,Dim_Date.DateID,Dim_Region.RegionID,Dim_Channel.ChannelID,Dim_Gender.GenderID,Dim_Product.ProductID
2097,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,1,1,3,26
2097,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,1,1,3,54
2097,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,1,1,3,64
2097,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,1,1,3,26
2097,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,1,1,3,54
2097,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,1,1,3,64
2097,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,1,1,3,26
2097,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,1,1,3,54
2097,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,1,1,3,64
2159,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,5,2,3,26
2159,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,5,2,3,54
2159,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,5,2,3,64
2159,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,5,2,3,26
2159,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,5,2,3,54
2159,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,5,2,3,64
2159,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,5,2,3,26
2159,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,5,2,3,54
2159,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,5,2,3,64
2081,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,3,1,2,55
2081,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,3,1,2,127
2081,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,3,1,2,55
2081,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,3,1,2,127
2473,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,4,2,2,112
2544,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,1,1,2,55
2544,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,1,1,2,127
2544,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,1,1,2,55
2544,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,1,1,2,127
2551,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,3,2,2,26
2551,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,3,2,2,54
2551,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,3,2,2,64
2551,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,3,2,2,26
2551,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,3,2,2,54
2551,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,3,2,2,64
2551,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,3,2,2,26
2551,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,3,2,2,54
2551,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,3,2,2,64
2720,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,5,2,1,81
2720,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,5,2,1,132
2720,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,5,2,1,166
2720,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,5,2,1,81
2720,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,5,2,1,132
2720,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,5,2,1,166
2720,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,5,2,1,81
2720,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,5,2,1,132
2720,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,5,2,1,166
2960,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,2,2,2,81
2960,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,2,2,2,132
2960,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,2,2,2,166
2960,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,2,2,2,81
2960,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,2,2,2,132
2960,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,2,2,2,166
2960,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,2,2,2,81
2960,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,2,2,2,132
2960,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,2,2,2,166
3004,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,4,2,2,26
3004,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,4,2,2,54
3004,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,4,2,2,64
3004,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,4,2,2,26
3004,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,4,2,2,54
3004,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,4,2,2,64
3004,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,4,2,2,26
3004,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,4,2,2,54
3004,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,4,2,2,64
3029,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,1,2,1,81
3029,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,1,2,1,132
3029,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,1,2,1,166
3029,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,1,2,1,81
3029,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,1,2,1,132
3029,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,1,2,1,166
3029,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,1,2,1,81
3029,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,1,2,1,132
3029,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,1,2,1,166
3199,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,6,1,3,112
3347,2,6653.09,0,No,0,13306.19,8649.02,4657.17,3,3,1,2,55
